	    ID 	             X 	              Y 	              Z 	  DX 	  DY 	  DZ 	  BV 	        AbsMag 	
	   171 	 47981.8870017 	 -91753.5306272 	 -68103.6523123 	 0.0 	 0.0 	 0.0 	 0.0 	 17.8187049706 	
	   172 	  18564.232302 	 -34849.1614395 	 -25925.7263232 	 0.0 	 0.0 	 0.0 	 0.0 	 18.4477731622 	
	   173 	 21883.8491569 	 -40588.4613834 	 -30266.7698131 	 0.0 	 0.0 	 0.0 	 0.0 	 18.5772083195 	
	   174 	 10266.6963028 	  -19083.910089 	 -14238.1372834 	 0.0 	 0.0 	 0.0 	 0.0 	 19.5838782658 	
	   175 	 42672.7595782 	 -79133.8902201 	 -58882.7566487 	 0.0 	 0.0 	 0.0 	 0.0 	  18.521283228 	
	   176 	 44403.0370902 	 -83892.6320048 	 -62068.8880264 	 0.0 	 0.0 	 0.0 	 0.0 	  18.611154088 	
	   177 	  43422.246423 	 -82333.9973705 	 -60790.7751679 	 0.0 	 0.0 	 0.0 	 0.0 	 18.4664074046 	
	   178 	 44844.0625469 	 -84349.1773969 	   -62098.47454 	 0.0 	 0.0 	 0.0 	 0.0 	 16.9955881034 	
	   179 	 22129.8905219 	 -41466.9207179 	  -30652.242469 	 0.0 	 0.0 	 0.0 	 0.0 	 18.5576893529 	
	   180 	 13841.7930326 	  -25786.906865 	 -18936.0558315 	 0.0 	 0.0 	 0.0 	 0.0 	 19.6156352747 	
	   181 	 19134.9927175 	 -33664.1087652 	 -25941.3116199 	 0.0 	 0.0 	 0.0 	 0.0 	 18.2131655947 	
	   182 	 33800.7384539 	 -59958.2204643 	 -46309.8748107 	 0.0 	 0.0 	 0.0 	 0.0 	 18.6729801218 	
	   183 	 21035.6189506 	 -37211.8761532 	 -28634.9140167 	 0.0 	 0.0 	 0.0 	 0.0 	 17.8991944535 	
	   184 	 17215.3920971 	 -30296.3728285 	 -23254.5002791 	 0.0 	 0.0 	 0.0 	 0.0 	 18.6178052261 	
	   185 	 15416.9189215 	 -27355.9329706 	 -20969.3942773 	 0.0 	 0.0 	 0.0 	 0.0 	 18.7938844793 	
	   186 	 44327.8976114 	 -78544.0837639 	 -60177.1991073 	 0.0 	 0.0 	 0.0 	 0.0 	 17.8250076123 	
